Price,Close,High,Low,Open,Volume
Ticker,IWM,IWM,IWM,IWM,IWM
Date,,,,,
2025-12-09,250.5498046875,252.1045884281723,249.2641228120337,249.41361539948633,30170100
2025-12-10,253.9583740234375,255.71250150126818,249.70264091838948,250.06143833814656,51105200
2025-12-11,256.9383544921875,257.14767451785343,253.47000500559392,253.78892757593977,41345200
2025-12-12,253.0015869140625,257.33705439806374,252.59295356893682,257.087889949737,57657700
2025-12-15,251.08798217773438,254.83542508833037,250.89862997787793,254.69589361024163,43120100
2025-12-16,249.89999389648438,252.16000366210938,248.47000122070312,250.33999633789062,43115300
2025-12-17,247.24000549316406,252.16000366210938,246.6999969482422,250.3699951171875,38132400
2025-12-18,248.7100067138672,251.36000061035156,248.2100067138672,250.17999267578125,39068000
2025-12-19,250.7899932861328,251.39999389648438,249.05999755859375,249.27999877929688,43610400
2025-12-22,253.5800018310547,255.1199951171875,252.1999969482422,252.27999877929688,40497300
2025-12-23,252.0800018310547,253.22000122070312,251.4600067138672,252.4199981689453,24973500
2025-12-24,252.7100067138672,252.86000061035156,251.1199951171875,251.97000122070312,12103000
2025-12-26,251.4199981689453,252.75,250.39999389648438,252.5800018310547,17429900
2025-12-29,249.8800048828125,251.5,249.35000610351562,250.25999450683594,25218800
2025-12-30,248.02999877929688,250.14999389648438,247.9499969482422,249.97000122070312,22123600
2025-12-31,246.16000366210938,248.27999877929688,246.00999450683594,248.17999267578125,35352000
2026-01-02,248.77999877929688,249.08999633789062,245.86000061035156,247.6300048828125,40007700
2026-01-05,252.72999572753906,253.5500030517578,249.57000732421875,249.7899932861328,37428100
2026-01-06,256.0799865722656,256.25,251.52000427246094,252.24000549316406,40677800
2026-01-07,255.47999572753906,256.79998779296875,253.97000122070312,256.3999938964844,33009500
