Price,Close,High,Low,Open,Volume
Ticker,DIA,DIA,DIA,DIA,DIA
Date,,,,,
2025-12-09,475.3848876953125,479.23648639213434,475.0555876391202,477.03129662245794,4266900
2025-12-10,480.3041687011719,481.7011208069396,474.3271625698976,475.0955090665239,5476200
2025-12-11,486.80999755859375,487.31889922347096,480.91283459075913,481.1523338484338,6972300
2025-12-12,484.3453674316406,488.59612149249466,483.11805933612897,487.638215806694,7089900
2025-12-15,484.1158752441406,486.6703106469916,482.65902548919706,486.52061219384785,4891300
2025-12-16,480.93280029296875,484.42519575057446,479.28636093050864,483.40739244268684,5373200
2025-12-17,478.75750732421875,483.7366860601133,478.4481833096192,481.7609771222088,6381600
2025-12-18,479.46600341796875,483.57704700247797,478.36838730286377,481.1323579484383,6422800
2025-12-19,481.1499938964844,482.79998779296875,480.42999267578125,480.6199951171875,6439100
2025-12-22,483.4599914550781,484.42999267578125,481.8599853515625,481.8599853515625,4162000
2025-12-23,484.2300109863281,485.1199951171875,482.17999267578125,482.17999267578125,3677800
2025-12-24,487.010009765625,487.57000732421875,483.5899963378906,484.19000244140625,1544000
2025-12-26,487.0299987792969,487.6199951171875,485.7300109863281,486.8399963378906,2711500
2025-12-29,484.5899963378906,486.9100036621094,483.75,485.8900146484375,3390100
2025-12-30,483.5899963378906,484.6700134277344,482.82000732421875,484.6199951171875,3042700
2025-12-31,480.57000732421875,483.80999755859375,480.3599853515625,483.6499938964844,3441900
2026-01-02,483.6300048828125,483.95001220703125,478.3800048828125,481.8500061035156,7021100
2026-01-05,489.7699890136719,492.0400085449219,484.25,484.4100036621094,7574400
2026-01-06,494.6099853515625,495.1199951171875,488.9599914550781,489.3299865722656,6061400
2026-01-07,489.9599914550781,496.25,489.5,495.6499938964844,5591000
